,customerID,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Month-to-month,One year,DSL,Fiber optic,Female
0,7242-QZLXF,0,0,1,1,0,0,0,0,0,0,0,0,1,Electronic check,-1.3100456119573625,-0.9970655435766924,1,1,0,1,0,0
1,8325-QRPZR,0,0,0,7,1,0,0,0,1,0,0,0,1,Electronic check,0.3448316412747705,-0.7767944099351689,0,1,0,0,1,1
2,7874-ECPQJ,0,0,1,4,1,0,0,0,0,0,0,0,1,Bank transfer (automatic),-1.4843305784462029,-0.9705289771463949,0,1,0,0,0,1
3,2476-YGEFM,0,0,0,29,1,1,0,0,0,0,0,0,1,Credit card (automatic),0.37304920727772545,-0.031720798493133244,0,1,0,0,1,1
4,2276-YDAVZ,0,0,0,3,1,1,0,0,0,0,0,0,1,Credit card (automatic),0.3431717844510669,-0.8888915667993663,1,1,0,0,1,1
5,0661-XEYAN,1,0,0,1,0,0,0,0,0,0,0,0,1,Mailed check,-1.29344704372033,-0.9968451402010255,1,1,0,1,0,1
6,1397-XKKWR,0,0,0,7,0,0,1,0,1,0,0,0,0,Mailed check,-0.9780742472167139,-0.8914923266322361,0,0,1,1,0,0
7,9249-FXSCK,0,0,0,52,1,1,1,1,0,1,1,1,1,Credit card (automatic),1.5432482679885113,1.599793149543703,1,0,1,0,1,1
8,4718-WXBGI,0,1,1,72,1,1,1,1,1,1,1,1,1,Credit card (automatic),0.9025435340390598,1.9076746250128285,0,0,0,1,0,0
9,0486-HECZI,0,1,0,55,1,1,1,1,0,0,1,0,1,Electronic check,1.061889789114571,1.3011245351774545,1,1,0,0,1,0
10,7291-CDTMJ,0,0,0,1,1,0,0,0,0,0,0,0,1,Bank transfer (automatic),-1.4976094330358287,-0.9995561017217287,0,1,0,0,0,0
11,7196-LIWRH,0,0,0,6,1,0,0,0,0,0,0,0,0,Mailed check,-1.5009291466832353,-0.9533595541819416,0,0,0,0,0,1
12,0625-AFOHS,0,1,1,29,1,0,0,0,0,0,0,0,0,Mailed check,-1.479351007975093,-0.7618951417400849,0,0,0,0,0,1
13,5656-MJEFC,0,1,1,42,0,0,1,0,1,1,1,0,0,Credit card (automatic),-0.5514910435249806,-0.11236639364966065,0,0,0,1,0,0
14,5640-CAXOA,0,0,0,30,0,0,0,0,0,1,0,1,1,Credit card (automatic),-0.8104287080226863,-0.48495830021459524,0,0,1,1,0,1
15,3946-MHCZW,0,0,0,1,1,0,0,0,1,0,0,0,0,Mailed check,-0.46019891822130227,-0.985780890742546,1,1,0,1,0,0
16,8374-UULRV,0,0,0,72,1,1,1,1,0,1,1,1,0,Credit card (automatic),0.706680428842077,1.7731183641681718,0,0,0,1,0,0
17,2108-YKQTY,0,0,0,4,1,0,0,1,0,0,0,0,0,Credit card (automatic),-0.4668383455161151,-0.9415238929086277,1,1,0,1,0,1
18,2862-PFNIK,0,0,1,1,0,0,0,0,0,0,0,0,1,Electronic check,-1.329963893841801,-0.9973300276274929,0,1,0,1,0,0
19,2856-HYAPG,0,0,0,1,1,0,0,0,0,0,0,0,0,Electronic check,0.129050254193349,-0.9779565709063702,1,1,0,0,1,1
20,3707-GNWHM,0,0,0,1,1,1,0,0,0,0,0,0,1,Mailed check,0.314954218448112,-0.9754880530989007,1,1,0,0,1,0
21,2363-BJLSL,0,0,0,62,1,0,0,1,1,1,1,1,1,Bank transfer (automatic),0.519116607763611,1.1875065950211554,0,1,0,1,0,0
22,3663-MITLP,0,0,0,15,1,0,0,1,1,0,1,1,1,Electronic check,1.2112769032478627,-0.3658523160041896,1,1,0,0,1,1
23,3373-YZZYM,0,1,1,1,1,0,0,0,0,0,0,0,0,Mailed check,-1.5125481444491577,-0.9997544647598291,0,1,0,0,0,0
24,5848-FHRFC,0,0,0,68,1,0,0,0,0,0,0,0,0,Bank transfer (automatic),-1.4843305784462029,-0.39686307096052575,0,0,0,0,0,1
25,0840-DFEZH,0,0,0,7,1,1,0,0,0,0,0,0,1,Electronic check,0.3514710685695831,-0.7593164222447818,0,1,0,0,1,1
26,5879-HMFFH,0,1,0,72,1,1,1,1,1,1,1,1,0,Bank transfer (automatic),0.7730747017902068,1.8661947097123142,0,0,0,1,0,1
27,4723-BEGSG,0,1,0,72,1,1,1,0,1,1,1,1,0,Credit card (automatic),0.7265987107265163,1.6781685899308612,0,0,0,1,0,0
28,3976-BWUCK,0,1,0,30,1,1,0,1,0,1,1,0,1,Credit card (automatic),0.973917377458299,0.2280025393927696,1,1,0,0,1,1
29,7120-RFMVS,0,0,0,1,1,1,0,0,0,0,1,0,0,Electronic check,0.6552248673072767,-0.9709697838977288,1,1,0,0,1,0
30,8292-FRFZQ,0,0,0,39,0,0,1,1,0,1,0,0,0,Bank transfer (automatic),-0.7838709988434345,-0.25844975104169765,0,0,1,1,0,1
31,9480-BQJEI,0,0,0,62,1,1,1,1,0,0,0,1,1,Bank transfer (automatic),0.9141625318049824,1.5182439005469412,0,0,1,0,1,0
32,4350-ZTLPI,0,1,0,53,1,1,0,1,1,1,1,1,1,Bank transfer (automatic),1.4668948540981623,1.5124032110917678,0,0,1,0,1,1
33,3763-GCZHZ,0,1,0,66,1,1,0,1,0,1,1,1,1,Electronic check,1.3042288853752444,2.0289405623047703,1,0,1,0,1,0
34,1658-XUHBX,1,1,1,59,1,1,0,0,1,0,0,1,1,Credit card (automatic),0.7963126973220522,1.3495030761363442,0,1,0,0,1,1
35,2507-QZPQS,0,0,0,15,1,1,0,1,0,1,0,1,0,Electronic check,1.027032795816803,-0.3685632775248928,0,1,0,0,1,0
36,0564-JJHGS,0,0,0,9,1,1,0,0,0,0,1,1,1,Electronic check,1.02039336852199,-0.642745076854546,1,1,0,0,1,0
37,9750-BOOHV,0,0,0,32,0,0,1,0,0,0,0,0,0,Mailed check,-1.149039500058148,-0.5993035715105952,0,0,1,1,0,1
38,8773-HHUOZ,0,0,1,17,1,0,0,0,0,0,1,1,1,Mailed check,-0.00207843487920722,-0.5263720945024102,1,1,0,1,0,1
39,1335-MXCSE,0,1,1,55,1,0,0,0,1,1,0,0,1,Credit card (automatic),-0.3157913745591201,0.36705502910103194,0,0,0,1,0,0
40,6029-CSMJE,0,0,0,17,0,0,0,0,0,0,0,0,1,Mailed check,-1.2984266141914396,-0.8141748224482792,0,1,0,1,0,0
41,8707-RMEZH,1,1,0,69,1,0,1,1,0,0,0,1,0,Credit card (automatic),0.7481768494346581,1.6611093686542413,0,0,1,0,1,1
42,0771-CHWSK,0,0,0,66,1,1,1,1,1,0,0,1,1,Credit card (automatic),0.32657321621403446,1.1069491612148947,0,0,0,1,0,0
43,3703-KBKZP,1,0,0,16,1,1,0,0,0,0,0,0,1,Bank transfer (automatic),0.32159364574292504,-0.4522063585904904,0,1,0,0,1,0
44,9477-LGWQI,0,1,1,70,1,0,1,1,1,0,1,1,1,Credit card (automatic),0.5108173236450948,1.460365974096807,0,0,0,1,0,0
45,4893-GYUJU,0,0,0,50,1,0,0,0,0,0,0,0,1,Mailed check,-1.507568573978048,-0.5528645802575745,0,0,1,0,0,1
46,2393-DIVAI,0,0,0,3,1,0,0,0,0,0,0,0,1,Mailed check,-1.485990435269906,-0.9810201778281405,0,1,0,0,0,1
47,0872-JCPIB,0,0,0,17,1,1,1,0,0,0,0,1,0,Bank transfer (automatic),0.032778558418560776,-0.5183934923032675,0,1,0,1,0,0
48,9909-IDLEK,0,1,1,20,1,1,0,1,0,1,1,0,0,Mailed check,1.0635496459382743,-0.20299626172389967,0,1,0,0,1,0
49,4086-WITJG,0,1,1,71,1,0,0,0,0,0,0,0,0,Credit card (automatic),-1.4959495762121253,-0.43468429022496996,0,0,0,0,0,0
50,2874-YXVVA,0,0,0,34,1,0,0,1,1,1,1,1,1,Electronic check,1.3390858786730122,0.59402642536283,0,1,0,0,1,1
51,0057-QBUQH,0,0,1,43,1,1,0,0,0,0,0,0,1,Electronic check,-1.3166850392521752,-0.5364886094455219,0,0,0,0,0,1
52,4676-MQUEA,1,1,0,50,1,1,1,1,1,0,1,0,1,Bank transfer (automatic),1.2328550419560051,1.312849994762935,0,0,1,0,1,0
53,0580-PIQHM,0,1,1,41,1,1,1,1,1,0,0,1,1,Bank transfer (automatic),1.2228959010137854,0.7243950220698154,0,0,1,0,1,1
54,5243-SAOTC,0,0,0,54,1,1,0,1,0,0,0,0,1,Bank transfer (automatic),0.500858182702875,0.8908877320486095,0,1,0,0,1,0
55,8347-GDTMP,0,1,0,64,1,0,0,0,0,0,0,0,0,Credit card (automatic),-1.5042488603306416,-0.4679431596131087,0,0,0,0,0,1
56,5012-YSPJJ,0,1,1,31,1,0,0,0,1,1,0,0,0,Mailed check,-0.34566879738577844,-0.28220923493859207,0,1,0,1,0,0
57,5288-AHOUP,1,0,0,11,1,0,0,0,0,0,0,1,1,Electronic check,0.4560420484628876,-0.6228646923693894,0,1,0,0,1,0
58,7488-MXJIV,0,0,0,4,1,1,0,0,0,0,1,0,1,Electronic check,0.6934015742524514,-0.8664324628189067,1,1,0,0,1,1
59,9867-XOBQA,0,0,1,21,0,0,1,1,1,1,1,0,0,Mailed check,-0.38550536115465633,-0.4866554062072305,0,0,0,1,0,1
60,2511-ALLCS,0,1,1,35,1,1,0,0,0,0,0,0,0,Bank transfer (automatic),-1.3432427484314273,-0.6460511274895498,0,0,0,0,0,1
61,5578-NKCXI,0,1,1,58,1,0,1,1,0,0,1,1,0,Credit card (automatic),1.1448826302997333,1.5690248383006002,0,0,1,0,1,1
62,1223-UNPKS,0,1,1,20,1,0,0,0,0,0,0,0,0,Mailed check,-1.4843305784462029,-0.8318952538518999,0,0,0,0,0,0
63,9087-EYCPR,0,0,0,60,1,1,0,0,0,0,0,0,0,Mailed check,-1.3200047528995817,-0.34478175329043176,0,0,0,0,0,1
64,5924-SNGKP,0,0,1,41,1,0,0,0,0,0,0,0,1,Credit card (automatic),-1.4776911511513897,-0.6269201144816609,0,0,1,0,0,1
65,1101-SSWAG,0,1,0,15,1,1,0,0,0,0,0,0,1,Electronic check,-0.4535594909264892,-0.6947382331743732,0,1,0,1,0,1
66,0082-LDZUE,0,0,0,1,1,0,0,0,0,0,0,0,1,Mailed check,-0.6793000189501303,-0.9886902153013494,0,1,0,1,0,0
67,2003-CKLOR,0,0,0,66,1,0,0,1,1,0,1,1,0,Electronic check,1.1531819144182494,1.9498157504403444,1,1,0,0,1,0
68,0679-IDSTG,1,1,1,1,1,0,0,0,0,0,0,0,1,Electronic check,0.14896853607778773,-0.97769208685557,1,1,0,0,1,1
69,7729-JTEEC,0,1,1,2,1,0,0,0,0,0,0,0,1,Electronic check,-0.6726605916553172,-0.9685233064278258,0,1,0,1,0,0
70,1550-LOAHA,0,1,0,32,1,0,0,1,0,0,0,1,0,Bank transfer (automatic),0.6436058695413541,0.13168626422632393,1,1,0,0,1,1
71,8336-TAVKX,1,1,0,72,1,1,1,1,1,1,0,1,0,Bank transfer (automatic),0.4543821916391844,1.496556208381316,0,0,0,1,0,1
72,9114-VEPUF,0,1,0,62,1,1,1,1,0,0,0,1,0,Electronic check,1.0403116504064287,1.63726172340708,0,0,1,0,1,0
73,2688-BHGOG,1,0,0,9,1,0,0,0,0,0,0,1,1,Electronic check,0.4908990417606556,-0.6914762632145027,0,1,0,0,1,0
74,2038-OEQZH,0,0,0,4,1,0,0,0,1,0,0,1,0,Electronic check,0.706680428842077,-0.8724053942994805,0,1,0,0,1,0
75,4767-HZZHQ,0,1,1,30,1,0,0,1,1,0,0,0,0,Bank transfer (automatic),0.5738918829458177,0.12474355789281584,0,1,0,0,1,0
76,0093-XWZFY,0,0,0,40,1,1,0,1,1,0,1,1,1,Credit card (automatic),1.3191675967885736,0.7712527797366033,1,1,0,0,1,0
77,5519-TEEUH,0,0,1,33,1,0,0,0,0,0,0,0,1,Mailed check,-1.4810108647987963,-0.7075216289630548,0,0,1,0,0,0
78,1088-CNNKB,0,1,0,63,1,1,1,1,1,1,0,1,0,Credit card (automatic),0.5058377531739848,1.2135362336874191,0,0,1,1,0,0
79,1813-JLKWR,0,1,1,64,1,0,0,0,0,0,0,0,0,Bank transfer (automatic),-1.492629862564719,-0.4190136102150516,0,0,1,0,0,1
80,4566-NECEV,0,0,0,5,1,1,0,1,1,0,0,1,0,Electronic check,1.055250361819758,-0.7877704980433818,0,1,0,0,1,0
81,1009-IRMNA,0,0,0,7,1,0,0,0,0,0,0,0,0,Bank transfer (automatic),-1.485990435269906,-0.9475629454019014,1,1,0,0,0,1
82,7410-OIEDU,0,0,0,10,1,0,1,0,1,0,0,0,1,Mailed check,0.500858182702875,-0.6170680835893494,0,1,0,0,1,0
83,7549-MYGPK,0,1,1,63,1,1,1,1,1,0,1,0,1,Electronic check,1.1880389077160174,1.7315502875173903,1,1,0,0,1,1
84,0056-EPFBG,0,1,1,20,0,0,1,0,1,1,0,0,1,Credit card (automatic),-0.841965987673048,-0.6443760618344812,0,0,0,1,0,0
